Region2,Country,ISO Code,Time Period,DataValue Type,Indicator Code,Indicator,Subgroup,Data Value
Asia and Pacific,Pakistan,PAK,Q2-2020,Realized,Indicator 1.4,"Number of community health workers receiving UN support to maintain essential services since COVID-19 disruptions, disaggregated by type of support",Community health worker,51849
Asia and Pacific,Pakistan,PAK,Q3-2020,Realized,Indicator 1.4,"Number of community health workers receiving UN support to maintain essential services since COVID-19 disruptions, disaggregated by type of support",Community health worker,27421
Asia and Pacific,Pakistan,PAK,Q4-2020,Realized,Indicator 1.4,"Number of community health workers receiving UN support to maintain essential services since COVID-19 disruptions, disaggregated by type of support",Community health worker,8890
Asia and Pacific,Pakistan,PAK,Q2-2020,Realized,Indicator 1.4,"Number of community health workers receiving UN support to maintain essential services since COVID-19 disruptions, disaggregated by type of support",Health workers based at health care facilities,43474
Asia and Pacific,Pakistan,PAK,Q3-2020,Realized,Indicator 1.4,"Number of community health workers receiving UN support to maintain essential services since COVID-19 disruptions, disaggregated by type of support",Health workers based at health care facilities,53398
Asia and Pacific,Pakistan,PAK,Q4-2020,Realized,Indicator 1.4,"Number of community health workers receiving UN support to maintain essential services since COVID-19 disruptions, disaggregated by type of support",Health workers based at health care facilities,23115
Asia and Pacific,Pakistan,PAK,Q2-2020,Realized,Indicator 1.4,"Number of community health workers receiving UN support to maintain essential services since COVID-19 disruptions, disaggregated by type of support",Provision of PPE and RCCE material,43474
Asia and Pacific,Pakistan,PAK,Q3-2020,Realized,Indicator 1.4,"Number of community health workers receiving UN support to maintain essential services since COVID-19 disruptions, disaggregated by type of support",Provision of PPE and RCCE material,53398
Asia and Pacific,Pakistan,PAK,Q4-2020,Realized,Indicator 1.4,"Number of community health workers receiving UN support to maintain essential services since COVID-19 disruptions, disaggregated by type of support",Provision of PPE and RCCE material,23115
Asia and Pacific,Pakistan,PAK,Q2-2020,Realized,Indicator 1.4,"Number of community health workers receiving UN support to maintain essential services since COVID-19 disruptions, disaggregated by type of support",Rapid training to provide essential MNCH services,138704
Asia and Pacific,Pakistan,PAK,Q3-2020,Realized,Indicator 1.4,"Number of community health workers receiving UN support to maintain essential services since COVID-19 disruptions, disaggregated by type of support",Rapid training to provide essential MNCH services,123624
Asia and Pacific,Pakistan,PAK,Q4-2020,Realized,Indicator 1.4,"Number of community health workers receiving UN support to maintain essential services since COVID-19 disruptions, disaggregated by type of support",Rapid training to provide essential MNCH services,27580
Asia and Pacific,Pakistan,PAK,Q2-2020,Realized,Indicator 1.4,"Number of community health workers receiving UN support to maintain essential services since COVID-19 disruptions, disaggregated by type of support",Total,138704
Asia and Pacific,Pakistan,PAK,Q3-2020,Realized,Indicator 1.4,"Number of community health workers receiving UN support to maintain essential services since COVID-19 disruptions, disaggregated by type of support",Total,123624
Asia and Pacific,Pakistan,PAK,Q4-2020,Realized,Indicator 1.4,"Number of community health workers receiving UN support to maintain essential services since COVID-19 disruptions, disaggregated by type of support",Total,27580
Asia and Pacific,Pakistan,PAK,Q2-2020,Realized,Indicator 1.2,"Number of health facilities that received UN support to maintain essential immunization services since COVID-19 disruptions, disaggregated by type of health worker and type of support",Other,136
Asia and Pacific,Pakistan,PAK,Q3-2020,Realized,Indicator 1.2,"Number of health facilities that received UN support to maintain essential immunization services since COVID-19 disruptions, disaggregated by type of health worker and type of support",Other,136
Asia and Pacific,Pakistan,PAK,Q4-2020,Realized,Indicator 1.2,"Number of health facilities that received UN support to maintain essential immunization services since COVID-19 disruptions, disaggregated by type of health worker and type of support",Other,136
Asia and Pacific,Pakistan,PAK,Q2-2020,Realized,Indicator 1.1,"Number of people accessing essential (non-COVID-19 related) health services, disaggregated by sex, age group and at-risk populations",Nutrition programmes Children 6-59 Months,66587
Asia and Pacific,Pakistan,PAK,Q3-2020,Realized,Indicator 1.1,"Number of people accessing essential (non-COVID-19 related) health services, disaggregated by sex, age group and at-risk populations",Nutrition programmes Children 6-59 Months,99880
Asia and Pacific,Pakistan,PAK,Q2-2020,Realized,Indicator 1.1,"Number of people accessing essential (non-COVID-19 related) health services, disaggregated by sex, age group and at-risk populations",Total Maternal Health,1025061
Asia and Pacific,Pakistan,PAK,Q3-2020,Realized,Indicator 1.1,"Number of people accessing essential (non-COVID-19 related) health services, disaggregated by sex, age group and at-risk populations",Total Maternal Health,2064156
Asia and Pacific,Pakistan,PAK,Q3-2020,Realized,Indicator 2.5,"Number of beneficiaries of social protection schemes and services related to the COVID-19 pandemic, disaggregated by type of programme, territory (rural/urban), sex, age group and at- risk population",Female Cash transfer programmes,6913125
Asia and Pacific,Pakistan,PAK,Q3-2020,Realized,Indicator 2.5,"Number of beneficiaries of social protection schemes and services related to the COVID-19 pandemic, disaggregated by type of programme, territory (rural/urban), sex, age group and at- risk population",Female Food and nutrition schemes,8000
Asia and Pacific,Pakistan,PAK,Q3-2020,Realized,Indicator 2.5,"Number of beneficiaries of social protection schemes and services related to the COVID-19 pandemic, disaggregated by type of programme, territory (rural/urban), sex, age group and at- risk population",Male Cash transfer programmes,7930906
Asia and Pacific,Pakistan,PAK,Q2-2020,Realized,Indicator 2.2,"Number of children supported with distance/home-based learning, disaggregated by sex",primary Boys,79439
Asia and Pacific,Pakistan,PAK,Q2-2020,Realized,Indicator 2.2,"Number of children supported with distance/home-based learning, disaggregated by sex",primary Girls,76934
Asia and Pacific,Pakistan,PAK,Q2-2020,Realized,Indicator 2.2,"Number of children supported with distance/home-based learning, disaggregated by sex",Secondary education Girls,1302
